"","Acute HX_SL.IM","Acute HX_1D.HX.IM","Acute HX_3D.HX.IM","Acute HX_7D.HX.IM","Acute HX_21D.HX.IM"
"Pcmtd1",0.521772049668136,0.238905041600847,0.244527610154619,0.290294935103078,0.496777522809602
"Exo1",0.0159570949518991,0.011905573351556,0.0399611692188324,0.0161950663349917,0.00968330413342707
"Uxs1",0.153512001918274,0.229835275321054,0.208547916125079,0.24669935445798,0.141562099675061
"Dsel",0.0180010532833794,0.0250098483369753,0.0637373920649095,0.0308156652851141,0.0382791264714419
"Gmppa",0.161477623994787,0.236095948398978,0.259863053389079,0.194630022895202,0.0991530111015109
"Rbm8a2",0,0.011563781641534,0,0,0.00612018912079423
"Rrs1",0.125177186707786,0.287710958713297,0.209495837542215,0.146634335739799,0.111922883707803
"Ivns1abp",1.12416585339382,0.751653640608929,0.886562181784432,1.29061475756527,0.698411271199931
"Tsn",0.806645306826074,0.865172097182159,0.664741512344827,0.600380210252304,1.1387734523699
"Nifk",0.234773153585312,0.352394143150709,0.222856317565958,0.218005159459446,0.294543574296521
"Adhfe1",0,0.00479189117796099,0,0,0.00115845439159771
"Swt1",0.263742294199135,0.179494277853698,0.23539122661674,0.184974023798254,0.297376122860539
"Cep170",0.83340223814345,0.396492335991532,0.339129471246537,0.527293258267914,0.764410433484822
"Trmt1l",0.234249823133392,0.304953229453204,0.294033722487416,0.449774436437441,0.152684310941415
"Rnf2",0.186843231417555,0.195259931484817,0.0979538983851276,0.195407456761353,0.179608779864167
"Mybl1",0.00287513462817896,0.00266764873912284,0,0,0.00737305649687743
"Vcpip1",0.283860580402944,0.162214139252952,0.203014755159633,0.222162506215388,0.304447010122729
"Tpp2",0.693463610465717,0.335709571004803,0.393871570404429,0.371984846136284,0.630606064058869
"Sdccag8",0.319009169565096,0.219698187974436,0.143243922127672,0.215500366531113,0.348084395948158
"Gm8251",0.0121984918101694,0.0079593259944288,0,0.00350839770073648,0.00742418278488304
"Niban1",2.00567760558911,0.699763354015709,0.802216314382952,0.927981659710196,1.60635869763516
"Akt3",0.240239981185366,0.0832998960000973,0.0834518846552913,0.15098889648606,0.172996319697859
"Zbtb18",0.187271567753212,0.200751815323766,0.196094870378342,0.18232704403401,0.14272453445278
"Tex30",0.14772589036217,0.176479679090826,0.115990868391055,0.139562173246289,0.0903710680032979
"Edem3",0.0851177940299493,0.065396397131505,0.0616909623613015,0.0511564173010784,0.0625598522679491
"1700025G04Rik",0.724122834285377,0.475533875038968,0.650927328887838,0.655288256700332,0.617796475004358
"Adss",0.432029705647154,0.354069767415356,0.294255646823082,0.240056664979478,0.403654317368686
"Tsen15",0.161827752241705,0.104677175606897,0.137935827085663,0.119243028157649,0.13777559476742
"Poglut2",0.0556537241830611,0.0518104815138896,0.0684396670258938,0.104940349687495,0.0595483677476704
"Catspere2",0,0,0,0,0.00142716569761907
"Bivm",0.031571347583577,0.0259470087176783,0.0336966046773229,0.0330956178267963,0.0417886009129006
"Desi2",0.396052932639239,0.299753608447094,0.219613368384762,0.249270133076965,0.44967094660057
"Cox20",0.76562379237712,1.04741202658204,0.918761561738107,0.735039074792044,0.924605404784336
"Ercc5",0.149116832548556,0.0825242177627962,0.0757799458219771,0.159468604377032,0.16142692771419
"Farsb",0.204132179012963,0.271376112608498,0.286745547169841,0.233148332621625,0.183131944423402
"Rgl1",0.424706616766411,0.283087469049232,0.226844862967259,0.271980463638032,0.443710963906399
